Line,ProbCoup
40,0
52,2\25
56,2\25
60,2\25
64,2\25
68,2\25
72,2\25
76,2\25
80,2\25
84,2\25
88,2\25
92,2\25
96,2\25
111,2\25
115,2\25
119,2\25
129,2\25
130,2\25
131,2\25
132,2\25
147,1\16
148,0\1
150,1\16
151,1\5
153,0\1
155,1\5
156,1\5
158,1\16
178,0\7
179,0\1
181,0\7
182,0\1
184,0\7
185,0\1
188,0\7
189,0\6
191,0\4
193,0\7
195,0\1
197,0\7
215,1\7
216,1\1
218,1\7
219,1\3
222,1\7
223,1\1
225,1\7
226,1\1
228,1\1
230,1\1
231,1\1
234,1\7
235,1\7
236,1\7
237,1\7
255,0\3
256,0\3
257,0\3
258,0\1
261,0\3
262,0\3
264,0\3
265,0\3
266,0\3
267,0\3
268,0\3
269,0\3
270,0\3
271,0\3
272,0\3
273,0\3
274,0\3
275,0\3
276,0\3
278,0\3
281,0\3
282,0\3
283,0\3
284,0\3
285,0\3
286,0\3
287,0\3
288,0\3
290,0\3
291,0\3
292,0\3
293,0\3
294,0\3
295,0\3
296,0\3
297,0\3
299,0\3
300,0\3
301,0
303,0\3
325,0\4
326,0\1
329,0\3
330,0\3
331,0\1
335,0\3
336,0\3
337,0\1
338,0\1
339,0\1
340,0\1
341,0\1
343,0\1
344,0\1
345,0\1
350,0\3
351,0\3
353,0\2
355,0\1
356,0\1
357,0\1
373,2\22
382,2\22
397,0\2
412,0\2
426,0\1
437,0\1
448,0\1
459,0\1
475,1\1
476,1\1
478,1\1
479,1\1
480,1\1
482,1\1
495,0\3
496,0\2
498,0\3
499,0\1
501,0\3
502,0\2
504,0\3
517,0\3
518,0\2
520,0\3
533,0\1
534,0\1
536,0\1
552,0\1
553,0\1
554,0\1
555,0\1
556,0\1
557,0\1
558,0\1
560,0\1
562,0\1
563,0\1
564,0\1
566,0\1
584,2\10
585,2\10
591,2\9
592,2\9
594,2\9
595,2\9
596,1\5
598,2\9
599,0
603,2\9
609,2\9
610,1\7
613,2\9
614,2\9
616,2\9
619,2\9
622,2\9
623,2\9
639,0\5
640,0\5
642,0\1
644,0\5
658,0\5
659,0\5
660,0\4
662,0\5
675,0\1
676,0\1
678,0\1
680,0\1
693,0\1
694,0\1
696,0\1
698,0\1
712,0\1
726,0\1
740,0\2
741,0\2
744,0\2
745,0\2
747,0\2
748,0\2
752,0\2
753,0\2
755,0\2
756,0\2
757,0\2
764,0\2
766,0\2
768,0\2
771,0\2
772,0\2
775,0\2
776,0\2
777,0\2
780,0\2
796,0\3
797,0\1
799,0\3
800,0\3
804,0\3
805,0\3
806,0\3
822,0\1
823,0\1
825,0\1
826,0\1
828,0\1
844,1\3
845,0\2
847,1\3
848,0\1
850,1\3
851,1\3
862,0\1
864,0\1
866,0\1
882,0\2
883,0\2
885,0\2
886,0\1
890,0\2
891,0\2
892,0\2
893,0\2
894,0\1
895,0\1
897,0\1
910,0\1
911,0\1
916,0\1
929,0\1
930,0\1
931,0\1
932,0\1
933,0\1
934,0\1
935,0\1
936,0\1
941,0\1
942,0\1
943,0\1
945,0\1
950,0\1
951,0\1
956,0\1
