Line,ProbCoup
92,1\67
100,1\67
102,1\67
125,0\4
148,0
171,0\1
195,0\12
224,0
255,0\14
256,0\7
258,0\14
259,0\3
265,0\14
266,0\14
268,0\14
269,0\14
270,0\14
272,0\2
274,0\3
275,0\2
276,0\2
278,0\2
282,0\3
284,0\14
286,0\14
287,0\14
288,0\14
289,0\14
291,0\2
297,0\2
298,0\14
299,0\14
320,0\14
321,0\14
322,0\14
323,0\14
324,0\14
325,0\14
330,0\14
331,0
334,0
335,0\14
338,0\14
350,0\1
351,0
353,0\1
354,0\1
368,1\50
369,0\1
371,1\50
372,1\17
374,1\50
375,0\4
376,0\4
378,1\50
379,1\50
381,1\24
382,0\34
384,0\2
388,0\34
389,0\6
390,0\29
391,0\4
392,0\26
393,0\4
394,0\23
395,0\8
396,0\16
397,0\4
398,0\13
399,0\4
400,0\10
401,0\4
402,0\7
403,0\4
406,0\4
408,1\50
423,0\13
424,0
426,0\13
427,0\13
438,0\11
439,0
441,0\11
442,0\11
453,0\6
454,0
456,0\6
457,0\6
468,0\10
469,0
471,0\10
472,0\10
483,0\6
484,0
486,0\6
487,0\6
504,0\6
505,0
507,0\6
524,0\6
525,0
527,0\6
538,0\6
539,0
541,0\6
542,0\6
556,0\17
557,0
559,0\17
560,0\12
562,0\17
563,0\1
564,0\1
566,0\17
567,0
568,0
570,0\17
571,0\17
573,0\17
587,0\7
588,0
590,0\7
591,0\1
593,0\7
594,0\1
595,0\1
597,0\7
598,0
599,0
601,0\7
602,0\7
604,0\7
618,0\5
619,0
621,0\5
622,0\1
624,0\5
625,0\1
626,0\1
628,0\5
629,0
630,0
632,0\5
633,0\5
635,0\5
649,0\5
650,0
652,0\5
653,0\1
655,0\5
656,0\1
657,0\1
659,0\5
660,0
661,0
663,0\5
664,0\5
666,0\5
680,0\9
681,0
683,0\9
684,0\1
686,0\9
687,0\1
688,0\1
690,0\9
691,0
692,0
694,0\9
695,0\9
697,0\9
711,0\5
712,0
714,0\5
715,0\1
717,0\5
718,0\1
719,0\1
721,0\5
722,0
723,0
725,0\5
726,0\5
728,0\5
742,0\5
743,0
745,0\5
746,0\1
748,0\5
749,0\1
750,0\1
752,0\5
753,0
754,0
756,0\5
757,0\5
759,0\5
773,0\5
774,0
776,0\5
777,0\1
779,0\5
780,0\1
781,0\1
783,0\5
784,0
785,0
787,0\5
788,0\5
790,0\5
804,0\5
805,0
807,0\5
808,0\1
810,0\5
811,0\1
812,0\1
814,0\5
815,0
816,0
818,0\5
819,0\5
821,0\5
831,1\66
841,0\14
842,0\14
