Line,ProbCoup
4,1\9
9,1\4
19,1\4
26,1\2
47,1\4
49,1\2
52,1\5
57,1\6
76,1\3
78,1\3
95,1\4
103,2\8
107,1\8
113,1\8
114,1\4
124,1\5
143,1\3
148,1\6
154,1\4
162,1\2
175,1\3
178,1\5
180,1\5
184,2\6
187,1\6
190,1\5
191,1\6
193,1\4
205,1\5
208,1\4
209,1\3
215,1\8
222,1\4
234,1\4
235,1\6
238,1\6
253,1\2
254,2\3
262,1\2
265,1\3
289,1\5
294,1\6
299,1\6
306,2\4
308,1\6
314,1\3
320,1\4
332,1\4
335,1\3
346,1\6
349,2\7
354,1\3
359,1\4
376,1\5
379,1\4
383,1\8
387,1\6
390,1\3
399,1\7
408,1\4
415,1\3
425,1\5
427,1\2
430,1\5
436,1\5
437,1\7
441,1\3
447,1\2
449,1\3
451,1\3
452,1\10
453,1\5
457,1\2
458,1\9
461,1\6
466,1\3
473,1\5
474,1\4
478,1\5
483,1\4
484,1\3
495,1\5
497,1\6
501,1\5
506,1\4
511,1\3
526,1\4
529,1\7
532,1\4
547,1\5
552,1\3
553,1\6
566,1\7
569,1\5
571,1\7
572,1\4
578,1\3
586,1\7
589,1\3
597,1\5
598,1\4
599,1\7
602,1\2
609,2\6
612,1\4
626,1\3
632,1\6
636,1\4
649,1\6
664,1\2
666,1\6
677,1\3
678,1\6
687,1\6
690,1\3
692,1\5
699,1\4
719,1\7
