Line,ProbCoup
21,1\2
22,1\1
24,1\1
27,1\1
28,1\1
159,1\1
163,1\1
165,1\1
209,1\2
210,1\2
167,1\2
211,1\1
168,1\2
213,1\1
214,1\3
217,1\2
30,1\2
32,1\1
33,1\1
34,1\2
35,1\3
37,1\2
38,1\3
169,2\3
170,2\4
172,1\1
173,2\2
174,2\2
219,1\2
220,1\2
1,1\3
177,1\1
221,1\1
4,1\1
5,1\3
6,1\1
226,1\3
8,1\2
228,1\2
39,1\3
41,1\1
45,1\3
47,1\1
48,1\3
184,1\1
229,1\1
230,1\2
187,2\2
233,1\2
236,1\3
237,1\1
50,2\2
51,2\3
52,1\3
53,1\2
54,1\1
55,1\1
56,1\3
57,2\2
58,1\1
189,1\3
191,2\2
193,1\2
194,1\2
240,1\1
197,1\2
241,1\2
242,2\3
243,2\2
244,1\3
246,1\1
59,1\2
60,1\1
61,2\2
62,1\1
66,1\2
68,2\3
251,1\2
254,1\2
299,1\2
256,1\1
300,1\2
257,1\3
303,1\3
304,2\4
305,1\3
70,1\2
71,1\3
72,1\1
308,1\1
73,1\1
75,1\2
76,1\2
260,2\2
264,1\1
265,1\1
266,1\1
267,1\2
268,1\2
312,1\1
313,2\3
314,1\2
315,1\2
316,1\1
269,2\4
270,1\3
271,2\3
273,1\1
275,1\1
321,1\3
278,1\3
90,1\1
91,1\2
327,1\2
93,2\3
95,1\2
96,1\1
279,1\2
281,1\3
283,1\4
286,2\2
331,1\1
288,1\2
332,1\2
335,1\2
337,1\1
338,1\1
294,1\1
295,1\4
297,1\2
341,1\1
343,1\2
345,1\3
346,1\1
348,1\2
351,1\2
355,1\1
399,1\2
400,1\1
356,1\4
357,1\2
403,1\1
407,1\1
408,1\2
362,2\3
364,1\1
365,1\2
410,1\2
413,1\4
417,1\3
369,1\1
371,1\1
373,1\1
374,1\1
420,1\1
376,1\5
424,1\2
425,2\3
426,1\1
427,1\2
380,1\1
381,1\1
429,1\2
385,1\1
386,1\1
388,1\1
434,2\2
435,1\2
436,1\3
437,1\2
438,1\1
389,1\1
390,1\1
391,1\1
392,2\4
393,1\2
395,1\3
441,1\1
397,1\2
442,1\1
446,1\2
447,1\1
448,1\1
450,1\1
452,1\2
453,1\2
499,1\4
455,1\2
500,1\3
456,1\1
501,1\1
457,2\2
502,1\1
458,1\1
504,2\4
506,2\4
508,1\2
460,1\3
463,1\3
464,1\2
510,1\2
467,1\1
512,1\2
514,1\2
516,1\4
470,1\1
474,1\2
519,1\1
475,1\3
521,1\2
477,1\4
522,1\2
478,2\2
523,2\4
525,1\1
526,1\1
528,1\2
481,1\2
485,1\2
486,1\3
488,2\2
536,1\1
490,1\1
491,1\2
539,2\2
495,1\1
540,2\4
541,1\1
498,1\1
544,1\1
545,1\1
549,1\3
550,2\2
551,1\2
552,1\2
101,1\2
102,1\1
599,1\2
555,1\1
600,1\2
556,1\1
106,1\1
603,1\3
108,1\1
604,1\2
606,1\1
560,2\5
562,1\3
111,1\2
563,1\3
112,1\2
564,1\2
113,1\1
114,1\1
610,2\3
115,1\2
611,1\1
567,1\1
612,1\1
117,1\1
118,1\1
616,1\1
617,2\3
570,1\1
571,1\3
572,1\1
122,1\1
574,1\2
619,1\1
124,1\1
620,1\2
576,1\2
125,1\3
621,1\3
577,1\4
128,1\3
627,1\2
628,2\3
579,1\1
580,1\2
582,1\2
583,1\2
132,1\3
584,1\3
133,1\2
134,1\2
630,1\1
135,1\2
587,1\2
136,1\1
138,1\2
635,1\3
636,1\2
591,1\3
140,2\4
592,1\2
142,1\1
143,1\2
640,2\5
596,1\3
642,1\2
598,1\1
148,1\1
647,1\2
648,1\2
12,2\2
15,1\2
17,1\3
18,1\2
152,1\1
153,1\2
649,1\1
154,1\2
155,1\1
157,1\1
202,1\1
203,1\1
204,1\1
205,1\2
208,2\3
19,1\3
