Line,ProbCoup
110,2\21
111,2\21
112,2\21
113,2\21
114,2\21
212,2\21
213,2\21
214,2\21
215,2\21
216,2\21
217,2\21
219,2\21
234,1\1
249,1\2
280,1\2
281,1\2
285,1\2
286,1\2
290,1\2
291,1\2
292,1\2
293,1\1
296,1\2
297,1\2
298,1\2
299,1\2
303,1\2
305,1\2
408,1\1
425,1\1
461,1\1
462,1\1
465,1\1
466,1\1
469,1\1
470,1\1
471,1\1
472,1\1
475,1\1
477,1\1
478,1\1
479,1\1
483,1\1
485,1\1
538,2\21
539,2\21
542,2\21
544,2\21
545,2\21
546,2\21
548,2\21
550,2\21
551,2\21
554,2\21
555,2\21
561,2\21
562,2\21
564,2\21
565,2\21
566,2\21
569,2\21
570,2\21
581,2\21
582,2\21
584,2\21
585,2\21
586,2\21
587,2\21
588,2\21
589,2\21
591,2\21
592,2\21
594,2\21
595,2\21
596,2\21
597,2\21
599,2\21
600,2\21
605,2\21
607,2\21
612,2\21
613,2\20
619,2\21
620,2\2
630,2\16
631,2\16
633,1\2
634,1\2
636,1\10
637,1\10
639,1\11
640,1\11
642,1\10
643,1\10
648,2\11
649,2\11
663,1\2
664,1\2
672,1\1
675,1\1
677,1\1
686,2\21
687,2\21
688,2\21
690,2\11
692,2\11
697,2\21
700,2\21
711,2\21
713,2\21
714,2\21
716,2\21
717,2\21
720,2\21
722,2\21
723,2\21
724,2\21
725,2\21
726,2\21
730,2\21
733,2\21
735,2\21
737,2\21
738,2\21
740,2\21
741,1\10
746,1\10
748,2\21
750,2\21
751,2\21
753,2\21
758,2\21
759,2\21
770,2\21
772,2\5
774,1\20
776,2\20
954,2\5
1001,2\21
1002,2\21
1003,2\21
1004,2\21
1005,2\21
1006,2\21
1007,2\21
1081,2\21
1082,2\21
1083,2\21
1089,2\21
1112,2\20
1113,2\20
1120,2\20
1127,2\20
1128,2\20
1145,2\20
1187,2\3
1193,2\3
1200,2\3
1201,2\3
1207,1\1
1209,1\1
1211,1\1
1213,1\1
1215,2\3
1229,2\11
1230,2\11
1236,2\11
1243,2\11
1251,2\12
1253,2\12
1254,2\12
1256,2\12
1272,2\12
1273,2\12
1275,2\12
1277,2\12
1278,2\12
1279,2\12
1285,2\12
1333,1\1
1334,1\1
1340,1\1
1347,1\1
1348,1\1
1354,1\1
1358,1\1
1360,1\1
1367,1\1
1373,1\1
1380,1\1
1387,1\1
1506,1\2
1508,1\2
1509,1\2
1515,1\2
1593,1\20
1602,1\20
1603,1\20
1604,1\20
1683,2\5
1688,2\5
1708,2\5
1709,2\5
1710,2\5
