Line,ProbCoup
4,1\1
9,1\2
12,1\4
14,1\1
22,1\3
24,1\1
25,1\4
27,1\4
31,1\3
36,1\2
41,1\2
50,1\4
52,1\2
58,1\3
63,1\3
75,1\2
77,1\2
80,1\3
82,1\2
96,1\1
98,1\3
103,1\2
105,1\2
107,1\2
110,1\3
116,1\2
120,1\2
127,1\2
128,1\1
133,1\3
134,1\1
140,1\4
147,1\4
149,1\2
154,1\1
155,1\2
157,1\3
167,1\2
178,1\3
181,1\2
189,1\3
193,1\1
194,1\3
201,1\2
205,1\1
207,1\1
209,1\1
210,1\2
212,1\1
220,1\2
223,1\2
243,1\1
245,1\2
261,1\1
276,1\3
293,1\2
297,1\2
298,1\1
315,1\2
319,1\2
329,1\2
345,1\1
349,1\2
350,1\1
351,1\4
361,1\3
363,1\2
365,1\3
368,1\3
370,1\2
374,1\3
403,1\3
404,1\1
428,1\2
432,1\2
433,1\4
440,1\2
445,1\2
451,1\2
464,1\1
467,1\1
469,1\3
471,1\2
475,1\2
476,1\2
489,1\1
490,1\2
492,1\2
494,1\1
496,1\2
501,1\1
503,1\2
505,1\1
520,1\1
525,1\2
535,1\2
543,1\1
548,1\1
551,1\3
552,1\2
554,1\3
561,1\3
572,1\3
580,1\5
590,1\3
593,1\3
602,1\2
604,1\1
611,1\2
613,1\1
619,1\3
633,1\1
636,1\2
638,1\4
642,1\2
643,1\2
646,1\2
