Line,ProbCoup
0,1\4
1,1\3
2,1\3
3,0\3
4,0\3
5,1\2
6,0\2
7,1\5
8,1\3
9,0\3
10,1\4
11,1\4
12,0\4
13,0\4
14,1\3
15,0\3
16,1\3
17,1\4
18,1\3
19,1\4
20,0\3
21,0\5
22,0\2
23,1\5
24,1\4
25,1\6
26,0\3
27,1\5
28,1\3
29,1\4
30,1\4
31,0\3
32,0\4
33,0\3
34,0\3
35,1\3
36,1\4
37,1\5
38,1\4
39,1\4
40,1\5
41,0\2
42,1\5
43,1\5
44,0\3
45,0\4
46,0\3
47,0\3
48,0\4
49,1\6
50,0\3
51,1\2
52,1\5
53,1\5
54,1\3
55,1\2
56,0\4
57,1\4
58,0\2
59,0\3
60,1\4
61,0\3
62,0\1
63,0\2
64,1\5
65,1\6
66,0\3
67,0\3
68,0\1
69,1\2
70,0\1
71,0\4
72,1\4
73,1\4
74,0\3
75,0\4
76,1\4
77,1\5
78,1\5
79,1\4
80,0\2
81,1\4
82,1\3
83,1\4
84,1\4
85,0\4
86,1\4
87,1\2
88,0\3
89,0\3
90,0
91,1\3
92,0\2
93,0\2
94,0\4
95,1\3
96,0
97,0\4
98,0\4
99,1\4
100,1\3
101,0\4
102,1\5
103,1\4
104,1\3
105,0\3
106,1\2
107,1\4
108,1\5
109,1\2
110,1\6
111,1\4
112,1\4
113,0\4
114,0\1
115,1\3
116,1\4
117,1\4
118,1\2
119,1\4
120,0\2
121,1\5
122,1\4
123,1\2
124,1\4
125,0\4
126,0\4
127,1\4
128,0\3
129,0\3
130,0\4
131,0\4
132,1\3
133,1\4
134,1\4
135,0\5
136,0\3
137,1\4
138,0\3
139,1\4
140,1\4
141,0\3
142,1\4
143,1\4
144,1\4
145,1\5
146,1\2
147,1\4
148,0\2
149,0\4
150,1\3
151,0\2
152,1\6
153,0\4
154,0\4
155,0\4
156,1\4
157,0\3
158,1\5
159,0\2
160,1\3
161,0\4
162,1\3
163,0\3
164,1\4
165,0\4
166,0\2
167,1\3
168,1\5
169,1\5
170,0\3
171,1\5
172,1\5
173,0\3
174,1\4
175,1\3
176,1\6
177,1\3
178,1\4
179,0\4
180,1\5
181,0\3
182,1\4
183,1\5
184,1\1
185,1\3
186,1\4
187,0\4
188,1\6
189,1\3
190,1\4
191,0\3
192,1\4
193,1\1
194,1\5
195,1\4
196,1\4
197,0\2
198,1\4
199,1\4
200,1\3
201,1\4
202,1\4
203,1\4
204,0\2
205,0\4
206,0\3
207,1\2
208,1\3
209,1\3
210,1\5
211,1\4
212,0\3
213,1\2
214,1\4
215,0\3
216,1\5
217,1\3
218,0\2
219,1\4
220,1\5
221,1\4
222,1\3
223,1\5
224,1\4
225,1\5
226,0\4
227,1\3
228,0\5
229,1\3
230,1\5
231,0\1
232,1\4
233,1\3
234,0\3
235,1\2
236,0\2
237,0\2
238,1\4
239,1\3
240,1\5
241,1\4
242,1\5
243,0\4
244,1\4
245,0\2
246,0\3
247,0\1
248,0\3
249,1\3
250,1\5
251,1\4
252,0\2
253,1\4
254,0\3
255,1\3
256,0\2
257,0\3
258,1\3
259,1\3
260,0\4
261,1\5
262,1\2
263,1\4
264,1\2
265,0\2
266,0\2
267,0\2
268,0\2
269,1\3
270,1\5
271,1\4
272,1\6
273,0\1
274,1\4
275,1\5
276,1\2
277,1\4
278,1\5
279,1\5
280,0\4
281,1\4
282,1\4
283,1\3
284,1\5
285,1\2
286,0\3
287,1\4
288,1\4
289,1\3
290,1\4
291,0\3
292,1\6
293,0\3
294,1\5
295,1\3
296,0\3
