Line,ProbCoup
21,0\6
22,0\2
23,0\2
24,0\1
25,0\3
26,0\2
27,0\4
28,0\1
89,0\1
90,0\3
91,1\6
92,1\6
93,0\2
94,0
95,0\2
96,0\2
97,1\2
98,0\2
99,0\4
100,0\1
101,0\3
102,0\2
103,0\5
29,0\6
104,0\4
30,0\2
105,1\3
31,0\6
106,0\4
32,0\6
107,0\4
33,0\4
108,0\3
34,0\3
35,1\4
36,1\5
37,0
38,0\2
0,0\3
1,0\1
2,0\3
3,0\3
4,0\4
5,1\4
6,0\5
,0
7,0\3
8,0\3
39,0\3
40,0\2
41,0\3
42,0\3
43,0\2
44,0\4
45,0\6
46,1\5
47,0\4
48,0\4
49,0\6
50,0\3
51,1\5
52,0\2
53,0\3
54,0\1
55,0\7
56,0\5
57,0\6
58,0\2
59,0\1
60,0\4
61,2\4
62,1\6
63,0\2
64,0\4
65,0\2
66,0\4
67,1\2
68,0\2
69,0\4
70,0\2
71,0\4
72,0
73,0\2
74,0\2
75,0\5
76,0\2
77,0\6
78,0\3
9,1\5
10,0\3
11,0\2
12,0\4
13,0\5
14,0\1
15,0\5
16,0\5
17,1\4
18,0\5
79,0\5
80,0\5
81,0\1
82,0\5
83,0\6
84,0\4
85,0\2
86,1\3
87,0\1
88,0\3
19,0\2
20,0\2
