Line,ProbCoup
33,2\138
35,2\138
37,2\138
39,2\138
41,2\138
43,2\138
45,2\138
47,2\138
49,2\138
51,2\138
53,2\138
55,2\138
57,2\138
59,2\138
61,2\138
63,2\138
65,2\138
67,2\138
446,2\6
447,2\4
449,2\6
452,2\6
453,2\4
455,2\6
456,2\4
457,2\4
458,2\2
460,2\4
463,2\4
465,2\6
469,2\6
470,2\6
472,2\6
474,2\4
475,2\4
478,2\4
480,2\4
482,2\4
484,2\6
485,2\4
486,2\2
490,2\6
492,2\6
494,2\6
495,2\6
496,2\4
498,2\6
501,2\6
502,2\6
503,2\6
506,2\6
510,2\6
511,2\2
514,2\2
521,2\4
522,2\4
525,2\4
530,2\2
535,2\4
536,2\4
537,2\4
541,2\2
543,2\4
555,2\4
556,2\4
558,2\4
560,2\4
563,2\4
564,2\4
568,2\4
569,2\4
572,2\4
576,2\4
578,2\4
579,2\4
580,2\4
584,2\2
586,2\4
587,2\2
588,2\2
609,2\6
612,2\6
613,2\6
614,2\6
631,2\6
634,2\6
647,2\6
650,2\6
664,2\6
668,2\6
682,2\8
685,2\8
698,2\6
701,2\6
714,2\6
718,2\6
725,2\6
1296,2\8
1299,2\8
1300,2\8
1304,2\8
